04-25-2023 	 01:19:34 	 e1880755-f2f1-490d-bde2-d57c7b59cf21 	 GET 	 undefined 	 / 
04-25-2023 	 01:19:34 	 50cc381c-b270-4f9a-bb9a-3a4e31a56a86 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:19:52 	 c381a688-38fd-40b8-83e4-aae0f31cd879 	 GET 	 undefined 	 / 
04-25-2023 	 01:19:52 	 a31f54ca-9acb-4a38-81af-da7d00fc19d0 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:20:20 	 a0fc7be6-05a0-4c80-92e2-5e196f50c852 	 GET 	 undefined 	 / 
04-25-2023 	 01:20:20 	 bb452785-e945-4d7e-bd6f-b6762c092350 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:20:51 	 051a7626-0b58-4a32-b3db-24ddec8d1c70 	 GET 	 undefined 	 / 
04-25-2023 	 01:20:51 	 43bca6d8-ad05-4e29-9201-dd22c003131f 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:21:04 	 3a77d241-621c-4847-a21f-4a1a0ea075c2 	 GET 	 undefined 	 / 
04-25-2023 	 01:21:04 	 2d11ed6a-56bc-4fab-8563-7e2a0445ac58 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:21:24 	 e853a886-bdfd-459a-852a-d01be402859e 	 GET 	 undefined 	 / 
04-25-2023 	 01:21:24 	 931ddc9d-dae5-43d5-af7c-f9ee560a8b0b 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:21:25 	 9ceb54f1-7912-4bd0-a2e8-a44a92530d8b 	 GET 	 undefined 	 / 
04-25-2023 	 01:21:25 	 8fb5226e-defe-4942-b161-39042df1a46f 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:21:31 	 52892ca0-00fc-4fa2-9485-169457e81ba4 	 GET 	 undefined 	 / 
04-25-2023 	 01:21:37 	 57288e5e-fc22-4e03-a2fd-31441e943106 	 GET 	 undefined 	 /views/index.html 
04-25-2023 	 01:21:53 	 e0fd55c1-b008-4eab-af91-76f54dcb2b0f 	 GET 	 undefined 	 /views/index.html 
04-25-2023 	 01:21:55 	 299718df-6b43-46ae-aa98-f25fa0fa66dc 	 GET 	 undefined 	 / 
04-25-2023 	 01:22:07 	 7a19b782-bfd5-492f-8b98-b890c49d7822 	 GET 	 undefined 	 / 
04-25-2023 	 01:26:51 	 f3794568-e8bb-4d43-8751-68740186d0ab 	 GET 	 undefined 	 / 
04-25-2023 	 01:26:51 	 307f08a9-5084-46a3-a99e-a9a54426071c 	 GET 	 undefined 	 /public/css/style.css 
04-25-2023 	 01:26:51 	 3c64fe30-5de5-4440-963b-3134b80ea740 	 GET 	 undefined 	 /favicon.ico 
04-25-2023 	 01:29:17 	 a9efcd04-55db-45b2-bbea-6adcb93e524b 	 GET 	 undefined 	 /public/css/style.css 
04-25-2023 	 01:32:05 	 fa29fc74-4037-4203-873f-c3b57e3d282e 	 GET 	 undefined 	 / 
04-25-2023 	 01:32:05 	 46850197-43bf-43bf-b00e-01317f88d8b9 	 GET 	 undefined 	 /css/style.css 
04-26-2023 	 12:09:55 	 905eaeac-f3fc-4bcf-8203-d9411baaa7ab 	 POST 	 undefined 	 / 
